ISBN - 13,Title of the Book,Book Type,Original Price,Discounted Price,ISBN - 10,Author,Published Date,Publisher,No. of Pages
9780307762528,book not found,-,-,-,-,-,-,-,-
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,Paperback,19.99,18.25,0007461240,C. S. Lewis,2012-07-01,HarperCollins Publishers,224
9780743422277,Star Trek,ePUB,5.99,5.99,0743422279,Diane Duane,2001-12-03,Pocket Books/Star Trek,256
9780241290002,Familiar Stranger,ePUB,15.99,15.99,0241290007,Stuart Hall,2017-04-06,Penguin Books Ltd,256
9780061763403,book not found,-,-,-,-,-,-,-,-
9780463983096,Across the Seas,ePUB,9.19,9.19,0463983092,Griff Hosker,2019-03-04,Griff Hosker,
9780241365984,American Royals,ePUB,9.99,9.99,0241365988,Katharine McGee,2019-09-01,Penguin Random House Children's UK,368
9781322117171,book not found,-,-,-,-,-,-,-,-
9780141911717,Homage to Catalonia,ePUB,15.99,15.99,0141911719,George Orwell,2003-06-05,Penguin Books Ltd,272
9780141930169,The Twits,ePUB,9.99,9.99,0141930160,"Roald Dahl,Quentin Blake",2007-09-06,Penguin Random House Children's UK,112
9781250316783,book not found,-,-,-,-,-,-,-,-
9780748115358,The Great Hunt,ePUB,11.99,11.99,0748115358,Robert Jordan,2009-11-17,"Little, Brown Book Group",736
9780141342436,Magnus Chase and the Sword of Summer (Book 1),ePUB,9.99,9.99,0141342439,Rick Riordan,2015-10-06,Penguin Random House Children's UK,528
9780141903125,Boy,ePUB,9.99,9.99,0141903120,"Roald Dahl,Quentin Blake",2008-09-04,Penguin Random House Children's UK,192
9780141928685,Angels,ePUB,15.99,15.99,0141928689,Marian Keyes,2005-03-31,Penguin Books Ltd,496
9780230739673,book not found,-,-,-,-,-,-,-,-
9780755386390,The Lost (Paula Maguire 1),ePUB,11.99,11.99,0755386396,Claire McGowan,2013-04-11,Headline,305
9781310517228,Anxiety,ePUB,9.38,9.38,1310517223,Joshua Fletcher,2016-03-22,Joshua Fletcher,
9780698137653,George Washington's Secret Six,ePUB,22.29,17.99,0698137655,"Brian Kilmeade,Don Yaeger",2013-11-05,Penguin Publishing Group,288
9780956308641,book not found,-,-,-,-,-,-,-,-
9781405921107,Jamie's Food Tube,ePUB,14.99,14.99,1405921102,Gennaro Contaldo,2015-07-02,Penguin Books Ltd,128
9780575087057,The Name of the Wind,ePUB,12.99,12.99,0575087056,Patrick Rothfuss,2010-04-22,Orion,672
9780440336358,Darkfever,ePUB,14.66,11.99,044033635X,Karen Marie Moning,2006-10-31,Random House Publishing Group,
9780755332557,Kiss,Paperback,26.99,26.25,0755332555,Jill Mansell,2007-05-10,Headline,512
9780698185890,book not found,-,-,-,-,-,-,-,-
9780470901038,,,,,,,,,
9780857202994,The Night Stalker,ePUB,12.99,12.99,0857202995,Chris Carter,2011-08-18,Simon & Schuster UK,464
9780446539654,The Jury Master,ePUB,17.99,17.99,0446539651,Robert Dugoni,2008-07-15,Grand Central Publishing,300
9781310869686,book not found,-,-,-,-,-,-,-,-
9780241242643,The Book of Why,ePUB,16.99,16.99,0241242649,"Judea Pearl,Dana Mackenzie",2018-05-15,Penguin Books Ltd,400
9780748109265,Blow Fly,ePUB,11.99,11.99,0748109269,Patricia Cornwell,2008-09-04,"Little, Brown Book Group",544
9780330469364,book not found,-,-,-,-,-,-,-,-
9780241980750,The Sapphire Widow,ePUB,15.99,15.99,0241980755,Dinah Jefferies,2018-04-05,Penguin Books Ltd,400
9780241379011,Couples That Work,ePUB,18.99,18.99,0241379016,Jennifer Petriglieri,2019-10-10,Penguin Books Ltd,304
9780575088436,Time of Contempt,ePUB,12.99,12.99,0575088435,"Andrzej Sapkowski,David French",2013-06-24,Orion,320
9781405927697,Typhoon Fury,ePUB,15.99,15.99,1405927690,"Clive Cussler,Boyd Morrison",2017-11-16,Penguin Books Ltd,480
9780755350841,The Eagle's Conquest (Eagles of the Empire 2),ePUB,12.99,12.99,0755350847,Simon Scarrow,2008-09-04,Headline,448
9781101117996,The Divine Comedy,ePUB,25.7,20.99,1101117990,"Dante Alighieri,John Ciardi",2003-05-27,Penguin Publishing Group,928
9781101209356,A Maiden's Grave,ePUB,14.66,11.99,1101209356,Jeffery Deaver,2000-01-01,Penguin Publishing Group,
9780755373970,No One Left To Tell (The Baltimore Series Book 2),ePUB,11.99,11.99,0755373979,Karen Rose,2012-01-05,Headline,451
9780755380558,The Snow Child,ePUB,12.99,12.99,075538055X,Eowyn Ivey,2012-02-01,Headline,318
9780439023481,The Hunger Games (USA Edition),Hardcover,40.8,40.8,0439023483,Suzanne Collins,2008-10-01,Scholastic US,384
9781250232984,Made Things,ePUB,6.22,5.99,1250232988,Adrian Tchaikovsky,2019-11-05,Tor Publishing Group,
9780141926902,Percy Jackson and the Sea of Monsters (Book 2),ePUB,12.99,12.99,0141926902,Rick Riordan,2008-05-01,Penguin Random House Children's UK,288
9780571333141,Conversations with Friends,ePUB,16.49,14.99,0571333141,Sally Rooney,2017-05-25,Faber & Faber,272
9781407035536,Strata,ePUB,14.99,14.99,1407035533,Terry Pratchett,2009-11-24,Transworld,288
9780141966151,Misbehaving,ePUB,16.99,16.99,0141966157,Richard H. Thaler,2015-05-07,Penguin Books Ltd,256
9780230225916,book not found,-,-,-,-,-,-,-,-
9780804141116,book not found,-,-,-,-,-,-,-,-
9781471144011,book not found,-,-,-,-,-,-,-,-
9780141929385,My East End,ePUB,15.99,15.99,0141929383,Gilda O'Neill,2000-09-28,Penguin Books Ltd,384
9780141964089,The Promise,ePUB,15.99,15.99,0141964081,Lesley Pearse,2012-01-19,Penguin Books Ltd,528
9780141929576,Artemis Fowl and The Arctic Incident,ePUB,9.99,9.99,014192957X,Eoin Colfer,2002-06-06,Penguin Random House Children's UK,336
9780141957869,23 Things They Don't Tell You About Capitalism,ePUB,15.99,15.99,0141957867,Ha-Joon Chang,2010-09-02,Penguin Books Ltd,304
9780141929743,Excalibur,ePUB,15.99,15.99,014192974X,Bernard Cornwell,2007-11-01,Penguin Books Ltd,496
9781328527905,book not found,-,-,-,-,-,-,-,-
9780544836730,Myers+Chang at Home,ePUB,46.19,36.99,0544836731,"Joanne Chang,Karen Akunowicz",2024-03-19,HarperCollins,320
9780547928517,book not found,-,-,-,-,-,-,-,-
9780307965493,Mastering Color Knitting,ePUB,15.42,12.99,030796549X,Melissa Leapman,2011-07-13,Clarkson Potter/Ten Speed,
9780646987286,How I Became The Fittest Woman On Earth,ePUB,17.59,16.99,0646987283,Tia-Clair Toomey,2018-01-22,BL SOUTHWICK PUBLISHING PTY LTD,202
9781101042182,Dubliners,ePUB,8.55,7.99,1101042184,"James Joyce,Edna O'Brien,Malachy McCourt",2007-02-06,Penguin Publishing Group,272
9781365501210,book not found,-,-,-,-,-,-,-,-
9780761174981,Stitch 'N Bitch Crochet,ePUB,23.99,23.99,0761174982,Debbie Stoller,2006-02-13,Workman Publishing Company,250
9780748115396,Lord of Chaos,ePUB,12.99,12.99,0748115390,Robert Jordan,2010-03-16,"Little, Brown Book Group",1056
9780857208347,A Wartime Christmas,ePUB,8.99,8.99,0857208349,Carol Rivers,2013-08-01,Simon & Schuster UK,464
9780755376605,Blood Ties,ePUB,12.99,12.99,0755376609,Samantha Hayes,2010-03-04,Headline,307
9780785170655,Infinity Gauntlet,ePUB,16.12,12.99,0785170650,"Jim Starlin,George Perez,Ron Lim",2014-05-28,Marvel Entertainment,
9781405926959,No Way Back,ePUB,2.99,2.99,1405926953,M. J. Arlidge,2016-08-08,Penguin Books Ltd,40
9780241397817,Feel Better In 5,ePUB,19.99,19.99,0241397812,Dr Rangan Chatterjee,2019-12-26,Penguin Books Ltd,272
9781405919470,book not found,-,-,-,-,-,-,-,-
9780316338363,book not found,-,-,-,-,-,-,-,-
9780991190928,Escaping Destiny,ePUB,6.99,6.99,0991190920,Amelia Hutchins,2015-07-30,Amelia Hutchins,
9780141967561,The Mark of Athena (Heroes of Olympus Book 3),ePUB,12.99,12.99,0141967560,Rick Riordan,2012-10-02,Penguin Random House Children's UK,592
9780470893869,The Five Dysfunctions of a Team,ePUB,32.99,32.99,0470893869,Patrick M. Lencioni,2010-06-03,Wiley Professional Development (P&T),240
9780698407091,Christmas Bells,ePUB,20.57,16.99,0698407091,Jennifer Chiaverini,2015-10-27,Penguin Publishing Group,
9780857206473,The 7 Habits Of Highly Effective Teenagers,ePUB,16.99,16.99,0857206478,Sean Covey,2011-03-31,Simon & Schuster UK,288
9780141919959,Nineteen Eighty-Four,ePUB,10.99,10.99,0141919957,"George Orwell,Thomas Pynchon",2004-01-29,Penguin Books Ltd,400
9780061949098,book not found,-,-,-,-,-,-,-,-
9781310839696,The King's Men,ePUB,1.43,1.43,1310839697,Nora Sakavic,2015-05-19,Nora Sakavic,
9780230770072,book not found,-,-,-,-,-,-,-,-
9780307978882,I'm a T. Rex!,ePUB,8.79,7.99,0307978885,"Dennis R. Shealy,Brian Biggs",2012-04-25,Random House Children's Books,
9780486114750,Dracula,ePUB,1.45,1.45,0486114759,Bram Stoker,2012-02-06,Dover Publications,336
9781405935166,Lucy Sullivan is Getting Married,ePUB,15.99,15.99,1405935162,Marian Keyes,2017-07-13,Penguin Books Ltd,672
9780141941448,The Beach,ePUB,15.99,15.99,0141941448,Alex Garland,2007-07-05,Penguin Books Ltd,448
9780575087309,The Green Mile,ePUB,13.99,13.99,0575087307,Stephen King,2010-11-25,Orion,448
9780553904567,Persuasion,ePUB,3.99,3.99,0553904566,Jane Austen,2008-01-29,Random House Publishing Group,
9780857389572,The Crowded Grave,ePUB,11.99,11.99,0857389572,Martin Walker,2011-10-29,Quercus,320
9781405914895,Eeny Meeny,ePUB,15.99,15.99,1405914890,M. J. Arlidge,2014-05-08,Penguin Books Ltd,464
9780141922324,Tao Te Ching,ePUB,10.99,10.99,014192232X,"Lao Tzu,D. C. Lau",2000-01-01,Penguin Books Ltd,192
9780393069211,book not found,-,-,-,-,-,-,-,-
9780544859562,The Cake Bible,ePUB,42.99,42.99,0544859561,Rose Levy Beranbaum,2016-09-06,HarperCollins,560
9780307538376,Midnight in the Garden of Good and Evil,ePUB,25.7,20.99,0307538370,John Berendt,2010-05-12,Knopf Doubleday Publishing Group,
9780755399604,A Liverpool Legacy,Paperback,27.75,27.75,0755399609,Anne Baker,2014-06-05,Headline,384
9781407059198,The Rainmaker,ePUB,15.99,15.99,140705919X,John Grisham,2010-04-21,Random House,720
9780571247035,The Murder Room,ePUB,14.29,12.99,0571247032,P. D. James,2008-09-04,Faber & Faber,320
9781302013769,Thor,ePUB,13.19,10.99,1302013769,"Jason Aaron,Esad Ribic",2014-04-02,Marvel Entertainment,
9781409106968,Fatal Cut,ePUB,11.99,11.99,1409106969,June Hampson,2009-04-16,Orion,320
9780141938332,The Queen and I,ePUB,15.99,15.99,0141938331,Sue Townsend,2002-11-28,Penguin Books Ltd,288
9780230760387,book not found,-,-,-,-,-,-,-,-
9780141357041,All the Bright Places,ePUB,12.99,12.99,0141357045,Jennifer Niven,2015-01-08,Penguin Random House Children's UK,300
